Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
66	1768.989	-513.1967	2282.186	0.160653	0.001045838	0.001045838	0.07109304	0.105427	0.285467	0.17453	0.0373254	0.346178	0.0510728	0.2144268	3.376053	39.28891	0.09156911	9.78108e-05	0.014588	0.273673	3.71164	0.220305	0.183869	0.28418	0.311647	0.2855198	0.7510049
67	1769.049	-514.3784	2283.428	0.2422059	0.001045838	0.001045838	-0.05622924	0.107363	0.27329	0.177734	0.0370696	0.352533	0.0520104	0.3292431	2.954285	40.42527	0.09156911	0.00176819	0.0611218	0.484758	3.45235	0.270151	0.239289	0.266282	0.224278	0.2730139	1.205957
68	1769.334	-514.2897	2283.623	0.1595115	0.001029177	0.001029177	-0.02783102	0.10984	0.316119	0.206529	0.0379248	0.294497	0.0350906	0.228513	2.833401	40.37072	0.3911035	9.19689e-05	0.014148	0.270292	3.71547	0.228858	0.202713	0.225581	0.342848	0.200682	1.138682
69	1768.816	-516.855	2285.671	0.1644004	0.0007704906	0.0007704906	0.07657841	0.125763	0.24381	0.226816	0.04165	0.323424	0.0385374	0.2279173	2.741936	41.28678	0.5606707	0.000119007	0.0160821	0.284711	3.69909	0.228858	0.202713	0.225581	0.342848	0.3044957	0.7485074
70	1772.281	-514.3646	2286.645	0.1609063	0.0007387551	0.0007387551	0.08026391	0.0634671	0.282158	0.26249	0.0552109	0.292075	0.0445987	0.2279173	3.03254	42.25954	0.5606707	9.91444e-05	0.0146865	0.274422	3.71079	0.244526	0.216293	0.240693	0.298488	0.3081812	0.7395561
71	1774.05	-513.0287	2287.079	0.1609063	0.0007103742	0.0007103742	0.0736564	0.0588217	0.341433	0.214717	0.0511698	0.270697	0.0631619	0.2345248	3.089865	43.12274	0.5606707	9.91444e-05	0.0146865	0.274422	3.71079	0.204564	0.231443	0.267872	0.296122	0.3081812	0.7609964
72	1772.26	-514.2896	2286.549	0.1656611	0.0007281606	0.0007281606	0.1095594	0.0379113	0.332417	0.261218	0.0434111	0.263549	0.0614941	0.2371845	3.046424	43.3852	0.5613617	0.00012687	0.0166018	0.288402	3.69487	0.193594	0.219032	0.253507	0.333867	0.3467439	0.6840336
73	1776.136	-513.1466	2289.283	0.1660346	0.001118742	0.001118742	0.06663855	0.0478941	0.280425	0.230114	0.0366213	0.35307	0.051876	0.2898906	2.343343	43.02774	0.5613617	0.000129274	0.0167573	0.289493	3.69362	0.222335	0.189783	0.298597	0.289284	0.3565291	0.8130908
74	1774.463	-514.5418	2289.004	0.2625233	0.001135502	0.001135502	0.03614456	0.0534633	0.283388	0.154131	0.0205097	0.425927	0.0625808	0.2898906	2.240136	43.79723	0.5613617	0.0027475	0.0758714	0.527162	3.39422	0.172495	0.201946	0.317734	0.307824	0.3260351	0.8891391
75	1777.092	-512.365	2289.457	0.2714452	0.001135502	0.001135502	0.03277134	0.0616629	0.277678	0.153552	0.0204328	0.424328	0.0623459	0.2799676	2.598692	43.14753	0.5613617	0.00326529	0.0825572	0.544584	3.36959	0.174279	0.201511	0.317049	0.30716	0.3127389	0.8952118
76	1777.458	-511.0166	2288.474	0.2719562	0.001122443	0.001122443	-0.04960547	0.0797997	0.26951	0.149036	0.0292959	0.411847	0.060512	0.3644807	2.970894	43.77818	0.5715042	0.0032966	0.0829432	0.54556	3.3682	0.204267	0.207089	0.272982	0.315663	0.3148752	1.15754
77	1777.456	-511.9443	2289.401	0.3092323	0.001506474	0.001506474	0.01248763	0.0806659	0.248225	0.150653	0.0429705	0.416317	0.0611688	0.3023876	2.185074	43.69747	0.5715042	0.00607406	0.111694	0.610986	3.27125	0.203885	0.208572	0.272471	0.315072	0.3148752	0.960341
78	1770.223	-518.3591	2288.582	0.3228403	0.001455759	0.001455759	0.0437303	0.092615	0.123954	0.158298	0.0881361	0.46735	0.0696472	0.2757324	2.298733	43.05563	0.5715042	0.00732989	0.12234	0.632239	3.23809	0.205707	0.247324	0.317449	0.22952	0.3194627	0.8631129
79	1767.636	-520.2984	2287.934	0.2062336	0.001385929	0.001385929	0.04544946	0.118495	0.126036	0.0936563	0.0819531	0.475199	0.104661	0.2757324	2.360107	42.81643	0.5715042	0.000654464	0.0374473	0.39973	3.56217	0.21722	0.261166	0.279249	0.242365	0.3211818	0.8584931
80	1771.632	-514.961	2286.593	0.1794083	0.0009642045	0.0009642045	0.0732539	0.0641506	0.249675	0.0535099	0.0869605	0.448456	0.0972479	0.2765852	2.381049	43.46789	0.5715042	0.000240426	0.0228042	0.327828	3.64913	0.215779	0.261647	0.279763	0.242812	0.3498391	0.7906069
81	1769.648	-516.4114	2286.059	0.1793936	0.0008199837	0.0008199837	0.07763641	0.0641506	0.249675	0.0535099	0.0869605	0.448456	0.0972479	0.2749674	2.186736	43.69015	0.5715042	0.000240274	0.022797	0.327786	3.64918	0.257176	0.217549	0.190925	0.33435	0.3526038	0.7798197
82	1773.212	-514.9069	2288.118	0.1169514	0.001126696	0.001126696	-0.03035928	0.0684742	0.249204	0.0640055	0.0928214	0.421693	0.103802	0.3829631	2.227283	43.15916	0.5715042	3.91652e-06	0.00293537	0.141862	3.8552	0.222272	0.217208	0.226695	0.333826	0.3526038	1.0861
83	1772.099	-513.7897	2285.889	0.1539103	0.001126696	0.001126696	-0.04372989	0.0410484	0.184471	0.054721	0.0793569	0.551658	0.0887448	0.3829631	2.236085	43.94118	0.5715042	6.70874e-05	0.0120934	0.253587	3.73425	0.222272	0.217208	0.226695	0.333826	0.3392332	1.128908
84	1771.064	-515.8987	2286.963	0.1970622	0.001092537	0.001092537	0.03363786	0.0385557	0.233994	0.0513981	0.074538	0.518159	0.0833558	0.3217137	2.231476	43.47583	0.2108723	0.000479238	0.032098	0.375947	3.59148	0.17844	0.223056	0.255688	0.342815	0.3553515	0.9053392
85	1772.159	-516.3014	2288.46	0.4615238	0.001774831	0.001774831	0.03641703	0.0385557	0.233994	0.0513981	0.074538	0.518159	0.0833558	0.3217137	2.210948	42.20682	0.6687293	0.0264978	0.226057	0.790119	2.95733	0.17844	0.223056	0.255688	0.342815	0.3581307	0.8983136
86	1774.299	-514.1977	2288.497	0.4616219	0.001775165	0.001775165	0.03183623	0.0713814	0.169672	0.0557467	0.0667636	0.561999	0.0744372	0.3217137	2.350236	41.365	0.6687293	0.0265147	0.226125	0.790202	2.95716	0.170603	0.234355	0.267284	0.327758	0.3535499	0.9099527
87	1779.41	-510.5453	2289.955	0.4572384	0.001513637	0.001513637	-0.006012478	0.0675475	0.210813	0.0942822	0.082952	0.451919	0.0924862	0.3339587	2.333084	41.10788	0.6789683	0.0257631	0.223086	0.786475	2.96468	0.166409	0.253176	0.260713	0.319701	0.3279462	1.018334
