Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
68	455.9897	-1081.849	1537.839	0.6881803	0.00363446	0.00363446	0.02078204	0.0551943	0.29164	0.13851	0.00940669	0.433137	0.0721112	0.3611845	0.6665762	68.27499	0.4685651	0.0716655	0.3579	0.920408	2.65003	0.212668	0.260404	0.269474	0.257454	0.3819665	0.945592
69	462.0975	-1075.984	1538.081	0.688188	0.003568804	0.003568804	0.02345699	0.0518418	0.273925	0.189593	0.012812	0.406828	0.0649998	0.3582956	0.4902627	68.80489	0.4685651	0.0716672	0.357903	0.920411	2.65002	0.207272	0.262189	0.27132	0.259219	0.3817526	0.9385545
70	463.7576	-1073.31	1537.068	0.6587106	0.002884646	0.002884646	0.03956283	0.0472082	0.249442	0.172647	0.0116669	0.459845	0.0591901	0.3555636	0.5149628	69.27064	0.6259979	0.0654003	0.343379	0.908551	2.68267	0.224331	0.201467	0.29365	0.280553	0.3951264	0.899873
71	468.5339	-1066.702	1535.235	1.125067	0.00329758	0.00329758	0.03498371	0.0411308	0.23805	0.164763	0.0166298	0.48294	0.056487	0.3589926	0.5291644	68.13497	0.6259979	0.161211	0.511366	1.01798	2.30944	0.246738	0.22159	0.260952	0.27072	0.3939763	0.9112035
72	470.9031	-1063.566	1534.469	0.9174892	0.003336923	0.003336923	0.01110002	0.0432437	0.244112	0.100971	0.016216	0.507749	0.0877083	0.3817514	0.5317694	68.62724	0.6259979	0.120211	0.450465	0.984859	2.44447	0.244745	0.230683	0.2307	0.293872	0.3928514	0.971745
73	466.7404	-1065.607	1532.347	0.8977304	0.00305315	0.00305315	0.06353862	0.065241	0.237286	0.100975	0.0157626	0.493552	0.0871832	0.3813157	0.5258206	67.97078	0.6259979	0.116124	0.443696	0.980747	2.45943	0.244745	0.230683	0.2307	0.293872	0.4448543	0.8571698
74	463.3292	-1068.04	1531.369	1.070919	0.003112539	0.003112539	0.06431843	0.0652675	0.237383	0.101016	0.0153625	0.493753	0.0872187	0.3805359	0.4302	68.03442	0.6089191	0.150883	0.497077	1.01082	2.34122	0.209723	0.216484	0.246812	0.326981	0.4448543	0.8554169
75	454.9223	-1076.616	1531.538	0.7914102	0.002420624	0.002420624	0.06723693	0.0622231	0.227469	0.102977	0.0156458	0.502858	0.0888271	0.3776174	0.4298938	67.86451	0.6089191	0.0937296	0.403653	0.954546	2.54807	0.259209	0.205933	0.229351	0.305507	0.4448543	0.8488563
76	459.6808	-1070.736	1530.417	1.041512	0.002420624	0.002420624	0.06407991	0.0474064	0.231063	0.104604	0.015893	0.510803	0.0902305	0.3862194	0.4315927	68.03423	0.6089191	0.145162	0.488883	1.00655	2.3594	0.280725	0.223026	0.248388	0.247861	0.4502993	0.8576949
77	462.4721	-1070.053	1532.525	1.009767	0.002895658	0.002895658	0.02515395	0.042116	0.277037	0.132114	0.0161397	0.453799	0.078794	0.4223366	0.4318366	68.6588	0.6089191	0.138899	0.479668	1.0016	2.37983	0.269265	0.254745	0.238248	0.237742	0.4474906	0.9437889
78	465.3902	-1064.916	1530.306	1.298762	0.002786599	0.002786599	0.04579636	0.0469806	0.309036	0.147373	0.014675	0.396821	0.0851135	0.4223366	0.428672	68.86913	0.6089191	0.192496	0.551231	1.03604	2.22023	0.236916	0.230325	0.266662	0.266096	0.468133	0.9021723
79	467.6873	-1066.435	1534.122	1.256347	0.002790324	0.002790324	0.03606099	0.0551776	0.302449	0.144232	0.0127145	0.403933	0.081494	0.4304644	0.4216702	68.96737	0.6089191	0.185116	0.542245	1.03221	2.24043	0.220332	0.214203	0.231032	0.334432	0.4665254	0.9227031
80	465.8896	-1069.682	1535.571	2.028828	0.003091602	0.003091602	0.02601057	0.0476246	0.291038	0.15058	0.0122349	0.420103	0.0784195	0.4194281	0.4422979	70.30537	0.6089191	0.296692	0.658045	1.07069	1.97457	0.197702	0.189153	0.317822	0.295322	0.4454386	0.9416068
81	465.6642	-1070.161	1535.825	2.427656	0.003067144	0.003067144	0.04439494	0.0625726	0.287707	0.148856	0.00804779	0.415294	0.0775219	0.4180351	0.4418788	69.77912	0.6089191	0.339489	0.693943	1.07776	1.88881	0.190003	0.210074	0.271938	0.327985	0.46243	0.9039964
