"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"320","T355","F47047",6.30319110006327,4.3,"Globoturborotalita nepenthes"
"321","T356","F48514",2.71061954951685,1.3,"Globoturborotalita woodi-Globoturborotalita apertura"
"322","T357","N86",49.55,47.55,"Astrorotalia palmerae"
"323","T359","F73908",28.9066120197235,28.5,"Subbotina minima-Subbotina angiporoides"
"324","T36","N35",6.5,2.2,"Globorotalia multicamerata"
"325","T360","F38706",13.665052279213,10.8,"Globigerinoides subquadratus"
"326","T361","N325",22.7,15.1,"Globoturborotalita brazieri"
"327","T362","N221",44.6,34,"Clavigerinella eocanica"
"328","T363","F75639",43.4522826393661,40,"Subbotina crociapertura"
"329","T365","F71630",0.218849464174155,0,"Pulleniatina praespectabilis-Pulleniatina spectabilis-Pulleniatina obliquiloculata"
"330","T367","N366",29.4,4,"Protentella prolixa-Protentella nicobarensis"
"331","T369","N368",55.5,55.3,"Morozovella allisonensis"
"332","T371","N370",54.5,54,"Morozovella edgari"
"333","T372","N291",21.5,2,"Globigerina eamesi"
"334","T373","F45850",5.67026590137277,0.6,"Globoturborotalita druryi"
"335","T38","F51620",2.70103134676071,1.7,"Globorotalia exilis-Globorotalia pertenuis"
"336","T39","F51810",3.12172973378096,2.4,"Globorotalia limbata-Globorotalia pseudomiocenica-Globorotalia miocenica"
"337","T41","F41925",4.84462916161865,4.5,"Globorotalia plesiotumida"
"338","T43","F42453",2.17396742157683,0,"Globorotalia tumida-Globorotalia flexuosa"
"339","T44","F51993",0.988835589273974,0,"Globorotalia menardii"
"340","T46","N45",3.2,0,"Globorotalia ungulata"
"341","T49","N48",3.5,0,"Globorotalia eastropacia"
"342","T50","N48",3.5,0,"Globorotalia margaritae-Globorotalia hirsuta"
"343","T53","N54",5.5,4.4,"Globorotalia cibaoensis"
"344","T55","F88449",0.943181219953112,0.9,"Globorotalia crassula"
"345","T57","N56",4.3,3.5,"Globorotalia crassaconica"
"346","T60","N59",1,0.4,"Globorotalia hessi"
"347","T61","F88327",0.801964169286657,0,"Globorotalia crassaformis"
"348","T63","F88539",1.30364747895852,1.2,"Globorotalia tosaensis"
"349","T65","N64",0.8,0,"Globorotalia cavernula"
"350","T66","N64",0.8,0,"Globorotalia truncatulinoides"
"351","T67","N198",64.87,64.85,"Muricohedbergella monmouthensis"
"352","T7","N6",45.25,39.3,"Pseudohastigerina sharkriverensis"
"353","T71","N70",60.75,60.7,"Praemurica uncinata"
"354","T73","N72",59.5,55.9,"Igorina albeari"
"355","T74","F69266",43.9575607636222,43.6,"Igorina tadjikistanensis-Pearsonites lodoensis-Pearsonites broedermanni-Pearsonites anapetes"
"356","T75","F9185",47.1723324335087,43,"Alicantina lozanoi-Alicantina prolata"
"357","T78","N370",54.5,54.45,"Morozovella velascoensis-Morozovella acuta"
"358","T81","F56237",54.7041331002582,54.45,"Morozovella occlusa"
"359","T82","F56722",55.8256371410796,55.45,"Morozovella pasionensis-Morozovella acutispira"
"360","T85","F53688",51.7553042696449,50.8,"Morozovella aequa"
"361","T87","F69603",42.0402295967867,38,"Planorotalites pseudoscitula-Planorotalites capdevilensis"
"362","T9","F70910",33.6090155294072,32.2,"Pseudohastigerina micra"
"363","T91","F56117",52.8780113428218,51.6,"Morozovella marginodentata"
"364","T92","F55647",51.3335692420136,50.4,"Morozovella gracilis-Morozovella formosa"
"365","T93","F56992",51.4928821997857,50.8,"Morozovella subbotinae"
"366","T95","F54434",44.1967210374703,43.6,"Morozovella lensiformis-Morozovella aragonensis"
"367","T96","N98",47.19,43.9,"Morozovella crater"
"368","T97","N98",47.19,45.15,"Morozovella caucasica"
"369","T999","N998",26.3,23.8,"Protentelloides primitiva-Protentelloides dalhousiei"
"370","F41140","F41184",13.8961866610919,13.5376878405011,"Globoquadrina dehiscens"
"371","F9192","N70",60.75,49.2312502052123,"Alicantina lozanoi-Alicantina prolata"
"372","F85861","N339",3.3,3.01758346126648,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"373","F88521","F88600",2.61778966762966,2.35915140862111,"Globorotalia tenuitheca-Globorotalia tosaensis"
"374","F43388","F12555",25.1927363627194,25.0931624441113,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"375","F61058","F60808",13.7745793425827,13.3838925242506,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"376","F67362","F67478",42.7675345718628,42.2903469061912,"Parasubbotina hagni-Subbotina corpulenta"
"377","F37746","F37604",5.76505760530708,4.96982563920814,"Globigerinoides obliquus"
"378","F72491","F72574",11.3602785578789,6.42878076892259,"Sphaeroidinellopsis kochi"
"379","F90984","N314",44.15,37.1664551916663,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"380","F88872","N21",32.9,32.143484782388,"Turborotalia ampliapertura-Globoturborotalita euapertura"
"381","F60808","F84602",14.5075188540807,13.7745793425827,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"382","F26061","F26897",58.3205569368904,55.4822723839036,"Globanomalina chapmani-Globanomalina planoconica-Planoglobanomalina pseudoalgeriana"
"383","F38157","F38340",4.34013862354681,4.06144623294473,"Globigerinoides elongatus-Globigerinoides ruber-Globigerinoides seigliei"
"384","F53857","F53867",58.9226882412238,56.9617961988854,"Morozovella angulata-Morozovella apanthesma-Morozovella aequa"
"385","F71090","F71368",43.8709358552784,38.9890280064016,"Pseudohastigerina wilcoxensis-Pseudohastigerina micra"
"386","F60613","F60242",0.412912192058284,0.313631008153316,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"387","F25002","F25176",18.0023511411273,17.3222947497269,"Fohsella peripheroronda-Paragloborotalia birnageae-Fohsella peripheroacuta-Fohsella praefohsi"
